Time,Source Balance,Environment Balance
1716660367265,999.9999999999708,1.5187600459247108e-11
,,
1716660368266,999.9999999999707,1.524663101383727e-11
,,
1716660369267,999.9999999999706,1.5305661568427433e-11
,,
1716660370269,999.9999999999704,1.5364751094600603e-11
,,1716660371293,999.9999999999703,1.5425137995599932e-11
,,
1716660372295,999.9999999999702,1.5484227521773102e-11
,,
1716660373296,999.9999999999701,1.5543258076363265e-11
,,
1716660374297,999.99999999997,1.5602288630953427e-11
,,
1716660375298,999.9999999999699,1.566131918554359e-11
,,
1716660376299,999.9999999999698,1.5720349740133753e-11
,,
1716660377301,999.9999999999696,1.5779439266306923e-11
,,
1716660378302,999.9999999999695,1.5838469820897086e-11
,,
1716660379304,999.9999999999694,1.5897559347070255e-11
,,
1716660380305,999.9999999999693,1.5956589901660418e-11
,,1716660381311,999.9999999999692,1.6015915314165617e-11
,,
1716660382312,999.9999999999691,1.607494586875578e-11
,,
1716660383314,999.999999999969,1.613403539492895e-11
,,
1716660384315,999.9999999999688,1.6193065949519113e-11
,,
1716660385316,999.9999999999687,1.6252096504109276e-11
,,
1716660386318,999.9999999999686,1.6311186030282445e-11
,,
1716660387319,999.9999999999685,1.6370216584872608e-11
,,
1716660388321,999.9999999999684,1.6429306111045777e-11
,,
1716660389323,999.9999999999683,1.6488395637218947e-11
,,
1716660390324,999.9999999999682,1.654742619180911e-11
,,1716660391332,999.999999999968,1.6606869547480323e-11
,,
1716660392333,999.9999999999679,1.6665900102070486e-11
,,
1716660393334,999.9999999999678,1.672493065666065e-11
,,
1716660394336,999.9999999999677,1.6784020182833818e-11
,,
1716660395337,999.9999999999676,1.684305073742398e-11
,,
1716660396339,999.9999999999675,1.690214026359715e-11
,,
1716660397341,999.9999999999674,1.696122978977032e-11
,,
1716660398342,999.9999999999673,1.7020260344360483e-11
,,
1716660399344,999.9999999999671,1.7079349870533652e-11
,,
1716660400345,999.999999999967,1.7138380425123815e-11
,,1716660401350,999.9999999999669,1.7197646866046008e-11
,,
1716660402351,999.9999999999668,1.725667742063617e-11
,,
1716660403353,999.9999999999667,1.731576694680934e-11
,,
1716660404354,999.9999999999666,1.7374797501399503e-11
,,
1716660405356,999.9999999999665,1.7433887027572673e-11
,,
1716660406357,999.9999999999663,1.7492917582162836e-11
,,
1716660407358,999.9999999999662,1.7551948136753e-11
,,
1716660408360,999.9999999999661,1.7611037662926168e-11
,,
1716660409360,999.999999999966,1.7670009245933324e-11
,,
1716660410363,999.9999999999659,1.77291577436895e-11
,,1716660411370,999.9999999999658,1.7788542127777706e-11
,,
1716660412371,999.9999999999657,1.784757268236787e-11
,,
1716660413373,999.9999999999656,1.790666220854104e-11
,,
